ID_Tempo;Cod_Tempo;Data;Numero_Dia_Semana;Numero_Mes;Numero_Ano;Nome_Mes;Numero_Trimestre;Nome_Trimestre;Numero_Semestre;Nome_Semestre
131;20130511;10/05/2013;7;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
132;20130512;11/05/2013;1;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
133;20130513;12/05/2013;2;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
134;20130514;13/05/2013;3;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
135;20130515;14/05/2013;4;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
136;20130516;15/05/2013;5;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
137;20130517;16/05/2013;6;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
138;20130518;17/05/2013;7;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
139;20130519;18/05/2013;1;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
140;20130520;19/05/2013;2;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
141;20130521;20/05/2013;3;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
142;20130522;21/05/2013;4;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
143;20130523;22/05/2013;5;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
144;20130524;23/05/2013;6;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
145;20130525;24/05/2013;7;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
146;20130526;25/05/2013;1;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
147;20130527;26/05/2013;2;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
148;20130528;27/05/2013;3;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
149;20130529;28/05/2013;4;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
150;20130530;29/05/2013;5;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
151;20130531;30/05/2013;6;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
152;20130601;31/05/2013;7;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
153;20130602;01/06/2013;1;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
154;20130603;02/06/2013;2;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
155;20130604;03/06/2013;3;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
156;20130605;04/06/2013;4;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
157;20130606;05/06/2013;5;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
158;20130607;06/06/2013;6;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
159;20130608;07/06/2013;7;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
